EventId,Type,Severity,Date,LocationLat,LocationLng,City,State
335,Fog,Severe,2016-11-30,32.8875,-112.72,Gila Bend,AZ
336,Snow,Light,2016-12-01,47.6214,-117.5278,Spokane,WA
337,Snow,Light,2016-12-02,41.7984,-78.6354,Lewis Run,PA
338,Rain,Light,2016-12-03,31.1387,-97.7145,Fort Hood,TX
339,Rain,Light,2016-12-04,39.9371,-91.1966,Quincy,IL
340,Rain,Light,2016-12-05,30.071,-94.216,Beaumont,TX
341,Rain,Light,2016-12-06,30.9791,-83.1925,Moody Afb,GA
342,Snow,Light,2016-12-07,37.2622,-104.3318,Trinidad,CO
343,Rain,Light,2016-12-08,28.3692,-97.7953,Beeville,TX
344,Snow,Light,2016-12-09,40.9233,-88.6213,Pontiac,IL
345,Snow,Light,2016-12-10,47.6828,-117.3226,Spokane,WA
346,Rain,Light,2016-12-11,25.4949,-80.3732,Homestead,FL
347,Rain,Light,2016-12-12,42.4932,-79.2762,Dunkirk,NY
348,Rain,Light,2016-12-13,27.5437,-99.4616,Laredo,TX
349,Snow,Light,2016-12-14,43.1167,-77.6767,Rochester,NY
350,Precipitation,UNK,2016-12-15,38.9092,-121.3513,Lincoln,CA
351,Snow,Light,2016-12-16,46.5667,-119.6,Hanford Site,WA
352,Cold,Severe,2016-12-17,34.0903,-117.2471,San Bernardino,CA
353,Rain,Light,2016-12-18,36.009,-86.5201,Smyrna,TN
354,Rain,Light,2016-12-19,33.9486,-83.3263,Athens,GA
355,Rain,Light,2016-12-20,24.5571,-81.7554,Key West,FL
356,Rain,Light,2016-12-21,35.9458,-112.1554,Grand Canyon,AZ
357,Rain,Light,2016-12-22,34.7412,-118.2125,Lancaster,CA
358,Rain,Light,2016-12-23,34.8468,-111.7884,Sedona,AZ
359,Snow,Moderate,2016-12-24,38.8984,-119.9962,South Lake Tahoe,CA
360,Rain,Light,2016-12-25,38.9439,-104.5684,Peyton,CO
361,Rain,Light,2016-12-26,28.9731,-95.8633,Bay City,TX
362,Rain,Light,2016-12-27,30.7439,-95.5861,Huntsville,TX
363,Snow,Light,2016-12-28,43.3504,-76.3832,Fulton,NY
364,Rain,Light,2016-12-29,42.0744,-70.2182,Provincetown,MA
365,Snow,Heavy,2016-12-30,42.4681,-71.2946,Concord,MA
366,Rain,Light,2016-12-31,32.1667,-110.8833,Tucson,AZ
367,Fog,Severe,2017-01-01,27.5031,-97.8117,Kingsville,TX
368,Rain,Light,2017-01-02,31.5365,-84.1957,Albany,GA
369,Rain,Light,2017-01-03,40.5176,-90.6481,Macomb,IL
370,Rain,Light,2017-01-04,25.9995,-80.2412,Miramar-Pembroke Pines,FL
371,Snow,Light,2017-01-05,40.7735,-80.3825,Beaver Falls,PA
372,Snow,Light,2017-01-06,40.0853,-78.5122,Bedford,PA
373,Cold,Severe,2017-01-07,40.5153,-106.8677,Steamboat Springs,CO
374,Rain,Light,2017-01-08,38.7007,-121.5948,Sacramento,CA
375,Rain,Moderate,2017-01-09,34.1997,-118.3654,Burbank,CA
376,Fog,Moderate,2017-01-10,40.6322,-79.1055,Indiana,PA
377,Snow,Moderate,2017-01-11,44.9358,-74.8455,Massena,NY
378,Rain,Light,2017-01-12,34.0235,-118.2912,Los Angeles,CA
379,Cold,Severe,2017-01-13,35.5544,-87.1791,Mount Pleasant,TN
380,Snow,Moderate,2017-01-14,40.7344,-73.4164,Farmingdale,NY
